customer_id,first_name,last_name,email,phone_number,gender,date_of_birth,city,state,country,postal_code,loyalty_tier,registration_date,is_active
CA0438B8B,Shawn,Lee,abbotttravis@example.net,+61-406-069-765,Male,1987-11-05,Masonville,New South Wales,Australia,0940,Silver,2022-09-22,True
CE30C45CF,Karen,Avery,justin24@example.com,08.6179.6351,Female,1955-08-15,Mirandaberg,Australian Capital Territory,Australia,2957,Bronze,2022-09-05,True
C8F8FA394,Patricia,Mcmillan,waltonanthony@example.org,+61-7-7404-9790,Female,1958-09-02,Jenniferborough,Tasmania,Australia,2638,Bronze,2023-07-22,True
C8729BDD3,Amanda,Erickson,fletcherangela@example.net,+61228518077,Female,1992-07-15,South Amy,Northern Territory,Australia,2657,Silver,2022-08-04,True
C5B754725,Roger,Cook,jcampbell@example.org,+61.3.1225.0463,Male,1974-05-15,St. Robertmouth,South Australia,Australia,2110,Platinum,2024-11-29,True
C71D900A6,Nathan,Young,gloria98@example.net,0720767445,Male,1978-10-11,West Amyton,Queensland,Australia,2674,Bronze,2023-09-11,True
C9A1222FB,Robert,Sanchez,carlos85@example.com,02 7222 1071,Male,1981-03-09,Yvonneside,Australian Capital Territory,Australia,2619,Bronze,2026-06-16,True
C7286AB54,Brian,Vega,carlamanning@example.org,0473.445.928,Male,1957-03-26,Melindaside,Victoria,Australia,2202,Platinum,2023-12-12,True
C7950CDFE,Haley,Gallegos,michaelortega@example.net,+61.7.0155.2292,Female,1988-12-24,Charlesstad,Tasmania,Australia,2614,Bronze,2026-05-17,True
C991EB380,Michelle,Washington,basseric@example.com,08 4691 3867,Female,2005-11-24,Port Kellyton,Western Australia,Australia,2344,Bronze,2023-09-10,True
C07D436EE,Brandy,Mcdonald,jill63@example.com,+61.491.535.366,Female,1946-02-09,Karenchester,Western Australia,Australia,2582,Bronze,2024-12-02,False
C0302FD0B,Barbara,Stewart,santhony@example.net,+61.456.002.096,Female,1982-09-26,Patrickfurt,South Australia,Australia,2619,Bronze,2023-05-19,True
C1D5C8B9A,Kyle,Brown,john54@example.net,+61 7 4427 8353,Male,1964-05-07,Spencerton,Australian Capital Territory,Australia,0896,Silver,2026-07-08,True
C0F8F883E,Richard,Mendez,samanthaerickson@example.com,0401.874.146,Male,1959-07-21,West Michaelfort,Queensland,Australia,2987,Bronze,2022-05-07,True
C5C2A9C10,Keith,Hughes,igross@example.com,+61 3 7028 0858,Male,2007-07-13,St. Peterburgh,Tasmania,Australia,2173,Bronze,2026-07-04,True
CB35FBDFF,Andre,Bryan,kharris@example.com,(08)85347466,Male,1992-02-29,Vargasview,New South Wales,Australia,2933,Gold,2023-04-11,False
CFD0DA359,Cindy,Romero,greenjohn@example.org,+61 7 9148 5323,Female,1983-09-07,Port Lanceburgh,Victoria,Australia,9052,Bronze,2024-08-13,True
C10CF3759,Jason,Young,terri14@example.net,+61.3.3674.3802,Male,1992-02-09,Port William,Northern Territory,Australia,3510,Bronze,2025-08-02,True
C16AF2260,Gabriel,Howard,andreamiller@example.com,+61-7-5246-4334,Male,1988-11-11,Lake Elizabethbury,Victoria,Australia,2501,Bronze,2025-11-16,True
CDAF72823,Jordan,Smith,williamsalex@example.org,+61.7.0445.4331,Female,2001-05-06,Morganview,Queensland,Australia,2990,Bronze,2024-06-11,True
C7E456E03,Brenda,Morris,theodoregeorge@example.org,+61 428 339 037,Female,1958-01-30,South Calebland,South Australia,Australia,2939,Silver,2025-12-12,True
C7E9E2B1A,Natasha,Jacobs,dray@example.org,03-2728-2298,Female,2004-12-19,Port John,Australian Capital Territory,Australia,6178,Bronze,2022-07-24,False
C836CC372,Michelle,Ward,matthew93@example.org,0414 533 135,Female,2000-03-24,North Williammouth,Tasmania,Australia,2708,Bronze,2026-03-12,True
C2B2E024C,Jacob,Mcdonald,sherrywillis@example.net,+61.2.7282.6560,Male,2003-09-22,Port Alicia,South Australia,Australia,0915,Bronze,2025-11-04,True
C6FA9A44B,Jason,Moses,melissacontreras@example.com,0327998712,Male,1973-07-01,Port Jesus,Western Australia,Australia,5658,Silver,2024-03-05,True
CE7318318,Carrie,Luna,gary74@example.org,(03)43271004,Female,1971-11-17,Henryburgh,South Australia,Australia,2989,Bronze,2024-11-23,True
CDB9FA3FA,Veronica,Brown,rachel65@example.com,+61.454.179.561,Female,1996-08-25,North Matthewview,Tasmania,Australia,2619,Silver,2023-07-06,True
C41DA826A,Kenneth,Gomez,duncanrandall@example.org,0814-8353,Male,1950-02-21,Rebeccaland,Victoria,Australia,2976,Silver,2022-01-14,True
C5E52A1A5,Nicole,Adams,duncanphillip@example.net,0412 346 395,Female,2005-10-28,Goldenville,Queensland,Australia,2525,Bronze,2026-08-02,True
C9BC930D7,Charles,Simpson,rhondamora@example.org,7808.3035,Male,1965-10-03,Daltonborough,Northern Territory,Australia,9595,Bronze,2022-05-04,True
C57737125,Robert,Guerrero,victoriawilliams@example.com,(03)51946998,Male,2003-07-31,Port Tara,Victoria,Australia,0901,Bronze,2026-02-24,True
CADA0D767,Diane,Taylor,jenkinseileen@example.org,0461-989-005,Female,1946-03-28,New Matthew,South Australia,Australia,2498,Gold,2025-08-21,True
C1796D246,Bianca,Merritt,xwarner@example.net,+61 7 5164 3979,Female,1963-08-29,Douglasmouth,Tasmania,Australia,2165,Bronze,2025-11-19,True
C9504E1ED,Ryan,Odonnell,cantudennis@example.com,(02) 2715 0523,Male,1971-01-12,Ramirezport,Victoria,Australia,2665,Platinum,2023-08-19,True
C4BB82565,Sabrina,Mccormick,christopherboyd@example.net,0486 052 250,Female,2001-12-19,Lake Jasonmouth,Northern Territory,Australia,7237,Gold,2025-05-12,True
C31266259,James,Deleon,christina07@example.com,+61.7.6475.3778,Male,2000-05-31,Port Michaelville,Queensland,Australia,1908,Silver,2024-05-22,True
C79CE6004,Karla,Turner,turnerlaura@example.com,+61-472-386-556,Female,1992-07-19,Douglasberg,Australian Capital Territory,Australia,2607,Silver,2022-03-27,True
C25D5781D,Jessica,Guerrero,heatherlowery@example.com,+61 494 118 278,Female,1948-07-09,New William,South Australia,Australia,2674,Silver,2022-04-25,True
C7672C88F,Caroline,Noble,xwilliams@example.org,+61 3 7698 7491,Female,1995-02-20,Stevenmouth,Queensland,Australia,2661,Bronze,2022-11-18,True
CE1BB6E31,Keith,Young,gardnermonica@example.org,(02).2628.9890,Male,1973-06-14,Collinsview,New South Wales,Australia,2965,Bronze,2024-12-08,True
C9EFD9A1F,Jeremy,Decker,susanbradshaw@example.org,15440142,Male,2003-05-31,Lake Susanton,Western Australia,Australia,2975,Silver,2025-10-29,True
C9F3324E6,Christine,Tucker,david60@example.net,08-3389-4199,Female,1999-12-04,Port Paulatown,Northern Territory,Australia,0844,Platinum,2023-05-12,True
C8CC94C64,Anthony,Weiss,karen75@example.net,9277 1039,Male,1961-03-31,Scottmouth,Tasmania,Australia,4824,Bronze,2025-05-15,True
C6ADB5B4B,Derrick,Foster,figueroaamy@example.com,0496-775-517,Male,1966-05-03,St. Timothystad,New South Wales,Australia,2608,Bronze,2025-11-10,True
CCFF4227E,Amy,Willis,andersonsusan@example.net,08-8480-5778,Female,1960-04-06,Josephborough,New South Wales,Australia,2652,Platinum,2021-09-05,True
C03510D3A,Aaron,Leon,reynoldsdevin@example.com,+61 438 632 226,Male,1975-02-04,St. Christopherberg,Western Australia,Australia,9496,Bronze,2024-04-05,True
C243437FD,Rodney,Barber,tracy14@example.net,+61214843147,Male,1980-08-20,Sergioborough,Queensland,Australia,2688,Platinum,2026-03-03,True
C3D8753C6,Joseph,Garcia,bryancrystal@example.com,(08)37704261,Male,1979-08-20,Nicoleport,Western Australia,Australia,9584,Bronze,2022-03-19,True
C31D3FE47,Joanne,Waller,gary17@example.org,2090.9003,Female,1961-11-27,Staceytown,Northern Territory,Australia,2649,Silver,2025-08-16,True
